X,y
-100.0,19704.95934284592
-99.97999799979998,19697.802251737514
-99.95999599959995,19687.159190955448
-99.93999399939995,19683.68687504876
-99.91999199919992,19671.24482805772
-99.8999899989999,19672.89599942046
-99.87998799879988,19665.92355941281
-99.85998599859985,19647.7542888513
-99.83998399839984,19645.063419671744
-99.81998199819982,19627.876038529168
-99.7999799979998,19619.28141882301
-99.77997799779978,19612.296529754265
-99.75997599759975,19603.18104498963
-99.73997399739974,19603.865157337477
-99.71997199719972,19595.623691072247
-99.6999699969997,19580.871331585695
-99.67996799679968,19577.26185766294
-99.65996599659967,19574.44729161958
-99.63996399639964,19560.56861478732
-99.61996199619962,19549.67248307109
-99.5999599959996,19543.86347168603
-99.57995799579957,19532.409523771286
-99.55995599559957,19525.74641183377
-99.53995399539954,19521.441985520145
-99.51995199519952,19516.054507905585
-99.4999499949995,19500.715697277774
-99.47994799479947,19494.772784963432
-99.45994599459947,19491.313260512467
-99.43994399439944,19487.39591856786
-99.41994199419942,19469.79634014234
-99.3999399939994,19470.94738567734
-99.37993799379937,19457.95144325917
-99.35993599359936,19450.566108223633
-99.33993399339934,19437.49036583038
-99.31993199319932,19435.020557138683
-99.2999299929993,19435.028182227546
-99.27992799279929,19425.41921009032
-99.25992599259926,19427.498849977903
-99.23992399239924,19402.3196373489
-99.21992199219922,19389.037802383376
-99.1999199919992,19400.01213549598
-99.17991799179919,19378.45957122667
-99.15991599159916,19370.06599708563
-99.13991399139914,19360.5643386971
-99.11991199119912,19362.144316732745
-99.0999099909991,19350.423354138118
-99.07990799079909,19342.838343916632
-99.05990599059906,19340.62316309895
-99.03990399039904,19322.463357337583
-99.01990199019902,19318.16319360693
-98.999899989999,19302.742547926828
-98.97989798979899,19297.75670969891
-98.95989598959896,19284.780535079353
-98.93989398939894,19286.095384525062
-98.91989198919892,19284.956941145832
-98.8998899889989,19265.105670466495
-98.87988798879888,19255.872782790593
-98.85988598859886,19251.77531547495
-98.83988398839884,19246.51461318334
-98.81988198819882,19233.35606231188
-98.79987998799879,19235.996834380363
-98.77987798779878,19226.77140680141
-98.75987598759876,19215.526817755257
-98.73987398739874,19212.160996462353
-98.71987198719872,19207.01385050554
-98.6998699869987,19199.15586729978
-98.67986798679868,19179.382627963125
-98.65986598659866,19171.85736868124
-98.63986398639864,19164.226609434194
-98.61986198619861,19164.44974508546
-98.5998599859986,19151.970834157153
-98.57985798579858,19140.96311566663
-98.55985598559856,19135.748198552843
-98.53985398539854,19133.91984896415
-98.51985198519851,19125.221067569957
-98.4998499849985,19108.775055599715
-98.47984798479848,19103.204564216656
-98.45984598459846,19094.277216197803
-98.43984398439844,19090.60602473478
-98.41984198419841,19081.359455741305
-98.3998399839984,19077.59365091307
-98.37983798379838,19064.27159004033
-98.35983598359836,19055.94947998071
-98.33983398339834,19056.0165893223
-98.31983198319833,19038.13372178078
-98.2998299829983,19034.853950499866
-98.27982798279828,19018.573990914683
-98.25982598259826,19030.280598687565
-98.23982398239824,19007.9035899333
-98.21982198219823,19006.02925825583
-98.1998199819982,18986.294741634734
-98.17981798179818,18987.747369573295
-98.15981598159816,18975.68897548382
-98.13981398139813,18975.69542391163
-98.11981198119813,18966.35415331408
-98.0998099809981,18948.020980901165
-98.07980798079808,18950.795888520974
-98.05980598059806,18938.913781263705
-98.03980398039803,18930.955954006673
-98.01980198019803,18925.558914506786
-97.999799979998,18909.666361758966
-97.97979797979798,18894.87450012675
-97.95979597959796,18910.03061333403
-97.93979397939793,18893.20184224485
-97.91979197919792,18884.01677021392
-97.8997899789979,18881.39559367803
-97.87978797879788,18862.49670912034
-97.85978597859786,18857.89930079741
-97.83978397839783,18858.24067668456
-97.81978197819782,18845.584399707284
-97.7997799779978,18840.54183155263
-97.77977797779778,18837.506216353708
-97.75977597759776,18824.579659460127
-97.73977397739775,18814.5488624771
-97.71977197719772,18804.961354645933
-97.6997699769977,18795.336344858388
-97.67976797679768,18796.536758312162
-97.65976597659765,18777.33261337286
-97.63976397639765,18776.688776738305
-97.61976197619762,18765.68703672767
-97.5997599759976,18764.632715186744
-97.57975797579758,18759.14093148539
-97.55975597559755,18741.49308121265
-97.53975397539755,18732.78849799094
-97.51975197519752,18734.08080668926
-97.4997499749975,18720.20532553377
-97.47974797479748,18716.814002977804
-97.45974597459745,18703.196557719224
-97.43974397439744,18693.433264117626
-97.41974197419742,18690.851913583592
-97.3997399739974,18689.6525061468
-97.37973797379738,18682.40287917629
-97.35973597359737,18674.47746615782
-97.33973397339734,18662.119231625868
-97.31973197319732,18645.880348364433
-97.2997299729973,18646.58977619382
-97.27972797279728,18636.278685924477
-97.25972597259727,18626.212156605816
-97.23972397239724,18614.13461571012
-97.21972197219722,18620.799481746555
-97.1997199719972,18609.285869599415
-97.17971797179717,18588.94042192778
-97.15971597159717,18594.506729803525
-97.13971397139714,18586.474490966677
-97.11971197119712,18573.017517507968
-97.0997099709971,18567.02459726375
-97.07970797079707,18554.05390119137
-97.05970597059707,18546.250627880498
-97.03970397039704,18544.80028907302
-97.01970197019702,18535.272717621858
-96.999699969997,18533.521419577886
-96.97969796979697,18521.372204571086
-96.95969596959696,18510.936376782076
-96.93969396939694,18502.057081270872
-96.91969196919692,18497.868212385154
-96.8996899689969,18492.750315639038
-96.87968796879687,18489.50645143477
-96.85968596859686,18471.182549488043
-96.83968396839684,18462.53415810355
-96.81968196819682,18456.190547703016
-96.7996799679968,18460.600152758307
-96.77967796779679,18447.49525512625
-96.75967596759676,18440.594270610916
-96.73967396739674,18426.59013244059
-96.71967196719672,18424.027189245986
-96.6996699669967,18424.736088421494
-96.67966796679669,18409.999608299495
-96.65966596659666,18396.17728318317
-96.63966396639664,18387.141089277047
-96.61966196619662,18378.51100720118
-96.5996599659966,18383.616427164106
-96.57965796579659,18371.868065361847
-96.55965596559656,18358.988358006056
-96.53965396539654,18351.329028578635
-96.51965196519652,18344.500356969496
-96.4996499649965,18340.680118117518
-96.47964796479648,18326.861294655588
-96.45964596459646,18326.583198037326
-96.43964396439644,18321.655503968006
-96.41964196419642,18303.74336251669
-96.3996399639964,18295.723952187007
-96.37963796379638,18289.727793433554
-96.35963596359636,18278.40744973744
-96.33963396339634,18283.975218821313
-96.31963196319631,18258.82061944859
-96.2996299629963,18267.11949173797
-96.27962796279628,18257.707287892452
-96.25962596259626,18249.600263244567
-96.23962396239624,18240.547109377585
-96.21962196219621,18233.686815971094
-96.1996199619962,18212.478667054624
-96.17961796179618,18215.05891920407
-96.15961596159616,18207.50944691319
